date,open,high,low,close,adj_close,volume
1/20/23,135.279999,138.020004,134.220001,137.869995,137.659805,80223600
1/23/23,138.119995,143.320007,137.899994,141.110001,140.894882,81760300
1/24/23,140.309998,143.160004,140.300003,142.529999,142.312714,66435100
1/25/23,140.889999,142.429993,138.809998,141.860001,141.643738,65799300
1/26/23,143.169998,144.25,141.899994,143.960007,143.74054,54105100
1/27/23,143.160004,147.229996,143.080002,145.929993,145.70752,70555800
1/30/23,144.960007,145.550003,142.850006,143,142.781998,64015300
1/31/23,142.699997,144.339996,142.279999,144.289993,144.070023,65874500
2/1/23,143.970001,146.610001,141.320007,145.429993,145.208282,77663600
2/2/23,148.899994,151.179993,148.169998,150.820007,150.590088,118339000
2/3/23,148.029999,157.380005,147.830002,154.5,154.264465,154357300
2/6/23,152.570007,153.100006,150.779999,151.729996,151.498688,69858300
2/7/23,150.639999,155.229996,150.639999,154.649994,154.41423,83322600
2/8/23,153.880005,154.580002,151.169998,151.919998,151.6884,64120100
2/9/23,153.779999,154.330002,150.419998,150.869995,150.639999,56007100
2/10/23,149.460007,151.339996,149.220001,151.009995,151.009995,57450700
2/13/23,150.949997,154.259995,150.919998,153.850006,153.850006,62199000
2/14/23,152.119995,153.770004,150.860001,153.199997,153.199997,61707600
2/15/23,153.110001,155.5,152.880005,155.330002,155.330002,65573800
2/16/23,153.509995,156.330002,153.350006,153.710007,153.710007,68167900
2/17/23,152.350006,153,150.850006,152.550003,152.550003,59144100
2/21/23,150.199997,151.300003,148.410004,148.479996,148.479996,58867200
2/22/23,148.869995,149.949997,147.160004,148.910004,148.910004,51011300
2/23/23,150.089996,150.339996,147.240005,149.399994,149.399994,48394200
2/24/23,147.110001,147.190002,145.720001,146.710007,146.710007,55469600
2/27/23,147.710007,149.169998,147.449997,147.919998,147.919998,44998500
2/28/23,147.050003,149.080002,146.830002,147.410004,147.410004,50547000
3/1/23,146.830002,147.229996,145.009995,145.309998,145.309998,55479000
3/2/23,144.380005,146.710007,143.899994,145.910004,145.910004,52238100
3/3/23,148.039993,151.110001,147.330002,151.029999,151.029999,70732300
3/6/23,153.789993,156.300003,153.460007,153.830002,153.830002,87558000
3/7/23,153.699997,154.029999,151.130005,151.600006,151.600006,56182000
3/8/23,152.809998,153.470001,151.830002,152.869995,152.869995,47204800
3/9/23,153.559998,154.539993,150.229996,150.589996,150.589996,53833600
3/10/23,150.210007,150.940002,147.610001,148.5,148.5,68572400
3/13/23,147.809998,153.139999,147.699997,150.470001,150.470001,84457100
3/14/23,151.279999,153.399994,150.100006,152.589996,152.589996,73695900
3/15/23,151.190002,153.25,149.919998,152.990005,152.990005,77167900
3/16/23,152.160004,156.460007,151.639999,155.850006,155.850006,76161100
3/17/23,156.080002,156.740005,154.279999,155,155,98944600
3/20/23,155.070007,157.820007,154.149994,157.399994,157.399994,73641400
3/21/23,157.320007,159.399994,156.539993,159.279999,159.279999,73938300
3/22/23,159.300003,162.139999,157.809998,157.830002,157.830002,75701800
3/23/23,158.830002,161.550003,157.679993,158.929993,158.929993,67622100
3/24/23,158.860001,160.339996,157.850006,160.25,160.25,59196500
3/27/23,159.940002,160.770004,157.869995,158.279999,158.279999,52390300
3/28/23,157.970001,158.490005,155.979996,157.649994,157.649994,45992200
3/29/23,159.369995,161.050003,159.350006,160.770004,160.770004,51305700
3/30/23,161.529999,162.470001,161.270004,162.360001,162.360001,49501700
3/31/23,162.440002,165,161.910004,164.899994,164.899994,68694700
4/3/23,164.270004,166.289993,164.220001,166.169998,166.169998,56976200
4/4/23,166.600006,166.839996,165.110001,165.630005,165.630005,46278300
4/5/23,164.740005,165.050003,161.800003,163.759995,163.759995,51511700
4/6/23,162.429993,164.960007,162,164.660004,164.660004,45390100
4/10/23,161.419998,162.029999,160.080002,162.029999,162.029999,47716900
4/11/23,162.350006,162.360001,160.509995,160.800003,160.800003,47644200
4/12/23,161.220001,162.059998,159.779999,160.100006,160.100006,50133100
4/13/23,161.630005,165.800003,161.419998,165.559998,165.559998,68445600
4/14/23,164.589996,166.320007,163.820007,165.210007,165.210007,49337200
4/17/23,165.089996,165.389999,164.029999,165.229996,165.229996,41516200
4/18/23,166.100006,167.410004,165.649994,166.470001,166.470001,49923000
4/19/23,165.800003,168.160004,165.539993,167.630005,167.630005,47720200
4/20/23,166.089996,167.869995,165.559998,166.649994,166.649994,52456400
4/21/23,165.050003,166.449997,164.490005,165.020004,165.020004,58311900
4/24/23,165,165.600006,163.889999,165.330002,165.330002,41949600
4/25/23,165.190002,166.309998,163.729996,163.770004,163.770004,48714100
4/26/23,163.059998,165.279999,162.800003,163.759995,163.759995,45498800
4/27/23,165.190002,168.559998,165.190002,168.410004,168.410004,64902300
4/28/23,168.490005,169.850006,167.880005,169.679993,169.679993,55209200
5/1/23,169.279999,170.449997,168.639999,169.589996,169.589996,52472900
5/2/23,170.089996,170.350006,167.539993,168.539993,168.539993,48425700
